Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Lag Period		START	23.309	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Courtship		START	5228.082	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	5230.595	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	5601.570	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	6642.232	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	6866.742	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	7045.472	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	7116.820	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	7202.922	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	7877.420	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	8019.357	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8582.382	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	8660.352	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8702.390	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	8773.905	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8893.942	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		START	8950.877	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4	NA	NA	
Set #11 Focals H30 x H71	2022-02-14 11:30:58		14463.183	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2803.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	9111.110	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #11 H30 x H71/Focals H30 x H71/C0004.MP4	NA	NA	
