Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Lag Period		START	22.165	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Courtship		START	1489.365	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	1491.592	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Attack		POINT	1517.092	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Flee		POINT	1517.092	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	1520.097	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Flee		POINT	2628.122	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Courtship		START	6002.292	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	7806.547	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		START	8070.562	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8105.742	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		START	8241.290	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8287.055	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		START	8518.277	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		STOP	8786.768	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Mount		START	8808.523	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4	NA	NA	
Set #15 Focals J201 x G43	2022-03-01 10:30:39		14410.400	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2747.520	100.000;100.000;100.000;100.000;100.000		Attempted left Copulation		START	9388.880	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #15 J201 x G43/Focals J201 x G43/C0004.MP4	NA	NA	
